List Name,Item Number,Item Name
Mais Vendidos em CozinhaVer mais,1,Copo térmico de cerveja Stanley|473ml
Mais Vendidos em CozinhaVer mais,2,Purificador de Água Electrolux Compacto Pure 4x Branco Bivolt Pe12b
Mais Vendidos em EletrônicosVer mais,1,"Fire TV Stick HD | Com controle remoto por voz com Alexa (inclui comandos de TV), controles de casa inteligente e streaming em HD"
Mais Vendidos em EletrônicosVer mais,2,Fone de Ouvido Philips com Microfone - Preto
Mais Vendidos em Games e ConsolesVer mais,1,PlayStation®5 Slim Edição Digital com 2 Jogos
Mais Vendidos em Games e ConsolesVer mais,2,"Mouse Gamer Redragon Cobra, Chroma RGB, 10000DPI, 7 Botões, Preto"
Mais Vendidos em EsporteVer mais,1,"Garrafa Térmica Inox Parede Dupla Matterhorn, Contigo, Azul, 591ML"
Mais Vendidos em EsporteVer mais,2,Vollo Corda de Pular de PVC
Mais Vendidos em ModaVer mais,1,Kit 10 Pares Meia Invisível Mash Unissex Algodão Sapatilha Cano Baixo
Mais Vendidos em ModaVer mais,2,Kit Com 6 Cuecas Boxer Lupo Microfribra Sem Costura Adulto Box Masculina 436
Mais Vendidos em BelezaVer mais,1,"L'Oréal Paris Elseve Óleo Finalizador Óleo Extraordinário, Anti Frizz, Protetor Térmico, 100ml"
Mais Vendidos em BelezaVer mais,2,Gel de Limpeza Principia 2% Ácido Salicílico + 5% Glicerina com 350g
